,,,,,Best Case Scenario (Appliance top pics),,,,,,,,,,,,
,Power Draw,Total Available Hours to Complete Task,Hours/# of Times Used in Competition,kW use per hour/use,ENERGY USE (kWh) (nominal),,,,,,,,,,,,
,refrigerator,191.5 hrs,191.5 hrs,0.05 kW,9.58,,,,,,,,,,,,
,stovetop,12 hrs (+ 1.5 hours for dinner party),5.5 hrs,2.5 kW,13.75,,,,,,,,,,,,
,dishwasher,12.5 hours,5 times,1.25 kW per use,6.25,,,,,,STOVETOP CALCS,,,,ME Room Fan Analysis,,
,oven,(for dinner party use),4 hours,1.92 kW,7.68,,,,,,mass of water (kg),sp heat (J/gC),H of Vaporization (kJ/kg),,CFM,ME room approx volume,Air change (min)
,washing machine (LG),24 hrs,8 times,0.3 kW per use,2.40,,,,,,2.26,4.179,2257,,1300,832,0.64
,HVAC,,,,48.00,,,,,,,,,,,,
,Passive HVAC inline Fan,,40 hrs,,6.00,,,,,,,,,,,assume 4 air changes per day,
,Mechanical Room Fan,,45 min ,0.3 kW,0.30,,,,,,,,,,,1 min *4,
,blackwater pump,,10 min,,0.21,,,,,,change in T (C),Power (kW),Time (min),,,4 min,
,greywater pump,,10 min,,0.21,,,,,,,,,,,,
,lighting (assume 400 W),26 hrs,26 hrs,0.400 kW,10.40,,,,,,78,2.5,38.91662747,,,9 days of competition,
,Laptop (assumption),34 hrs,34 hrs,0.06 kW,2.04,,,,,,,,,,,4 min *9 days,
,"TV (32"" assumption)",37 hrs,34 hrs +3 hrs (Movie Night),0.03kW,1.02,,,,,,,,40 min * 6 times,,,,
,controls system,,,,4.00,,,,,,,,4 hrs total,,,,
,vehicle (VW Golf),16 hrs,,,58.50,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,TOTAL,,,,170.34,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,LEFT OVER,,,,4.67,,,,,,,,,,,,
